# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
  10.635  0.343E+00  0.114E+00  0.114E+00  0.114E+00
  10.685  0.340E+00  0.113E+00  0.113E+00  0.113E+00
  10.735  0.333E+00  0.111E+00  0.111E+00  0.111E+00
  10.785  0.330E+00  0.110E+00  0.110E+00  0.110E+00
  10.835  0.340E+00  0.113E+00  0.113E+00  0.113E+00
  10.885  0.363E+00  0.121E+00  0.121E+00  0.121E+00
  10.935  0.391E+00  0.130E+00  0.130E+00  0.130E+00
  10.985  0.408E+00  0.136E+00  0.136E+00  0.136E+00
  11.035  0.408E+00  0.136E+00  0.136E+00  0.136E+00
  11.085  0.401E+00  0.134E+00  0.134E+00  0.134E+00
  11.135  0.395E+00  0.132E+00  0.132E+00  0.132E+00
  11.185  0.389E+00  0.130E+00  0.130E+00  0.130E+00
  11.235  0.378E+00  0.126E+00  0.126E+00  0.126E+00
  11.285  0.359E+00  0.120E+00  0.120E+00  0.120E+00
  11.335  0.333E+00  0.111E+00  0.111E+00  0.111E+00
  11.385  0.303E+00  0.101E+00  0.101E+00  0.101E+00
  11.435  0.270E+00  0.901E-01  0.901E-01  0.901E-01
  11.485  0.239E+00  0.795E-01  0.795E-01  0.795E-01
  11.535  0.213E+00  0.710E-01  0.710E-01  0.710E-01
  11.585  0.198E+00  0.660E-01  0.660E-01  0.660E-01
  11.635  0.192E+00  0.641E-01  0.641E-01  0.641E-01
  11.685  0.190E+00  0.633E-01  0.633E-01  0.633E-01
  11.735  0.191E+00  0.636E-01  0.636E-01  0.636E-01
  11.785  0.205E+00  0.682E-01  0.682E-01  0.682E-01
  11.835  0.240E+00  0.799E-01  0.799E-01  0.799E-01
  11.885  0.289E+00  0.965E-01  0.965E-01  0.965E-01
  11.935  0.335E+00  0.112E+00  0.112E+00  0.112E+00
  11.985  0.364E+00  0.121E+00  0.121E+00  0.121E+00
  12.035  0.380E+00  0.127E+00  0.127E+00  0.127E+00
  12.085  0.391E+00  0.130E+00  0.130E+00  0.130E+00
  12.135  0.402E+00  0.134E+00  0.134E+00  0.134E+00
  12.185  0.404E+00  0.135E+00  0.135E+00  0.135E+00
  12.235  0.390E+00  0.130E+00  0.130E+00  0.130E+00
  12.285  0.357E+00  0.119E+00  0.119E+00  0.119E+00
  12.335  0.311E+00  0.104E+00  0.104E+00  0.104E+00
  12.385  0.260E+00  0.868E-01  0.868E-01  0.868E-01
  12.435  0.212E+00  0.705E-01  0.705E-01  0.705E-01
  12.485  0.169E+00  0.565E-01  0.565E-01  0.565E-01
  12.535  0.141E+00  0.470E-01  0.470E-01  0.470E-01
  12.585  0.131E+00  0.437E-01  0.437E-01  0.437E-01
  12.635  0.137E+00  0.456E-01  0.456E-01  0.456E-01
  12.685  0.146E+00  0.488E-01  0.488E-01  0.488E-01
  12.735  0.149E+00  0.497E-01  0.497E-01  0.497E-01
  12.785  0.143E+00  0.478E-01  0.478E-01  0.478E-01
  12.835  0.138E+00  0.458E-01  0.458E-01  0.458E-01
  12.885  0.141E+00  0.470E-01  0.470E-01  0.470E-01
  12.935  0.156E+00  0.520E-01  0.520E-01  0.520E-01
  12.985  0.176E+00  0.586E-01  0.586E-01  0.586E-01
  13.035  0.196E+00  0.653E-01  0.653E-01  0.653E-01
  13.085  0.218E+00  0.728E-01  0.728E-01  0.728E-01
  13.135  0.249E+00  0.829E-01  0.829E-01  0.829E-01
  13.185  0.289E+00  0.963E-01  0.963E-01  0.963E-01
  13.235  0.336E+00  0.112E+00  0.112E+00  0.112E+00
  13.285  0.383E+00  0.128E+00  0.128E+00  0.128E+00
  13.335  0.411E+00  0.137E+00  0.137E+00  0.137E+00
  13.385  0.403E+00  0.134E+00  0.134E+00  0.134E+00
  13.435  0.350E+00  0.117E+00  0.117E+00  0.117E+00
  13.485  0.272E+00  0.907E-01  0.907E-01  0.907E-01
  13.535  0.199E+00  0.662E-01  0.662E-01  0.662E-01
  13.585  0.149E+00  0.495E-01  0.495E-01  0.495E-01
  13.635  0.123E+00  0.408E-01  0.408E-01  0.408E-01
  13.685  0.114E+00  0.381E-01  0.381E-01  0.381E-01
  13.735  0.119E+00  0.397E-01  0.397E-01  0.397E-01
  13.785  0.133E+00  0.443E-01  0.443E-01  0.443E-01
  13.835  0.147E+00  0.490E-01  0.490E-01  0.490E-01
  13.885  0.154E+00  0.513E-01  0.513E-01  0.513E-01
  13.935  0.152E+00  0.507E-01  0.507E-01  0.507E-01
  13.985  0.147E+00  0.489E-01  0.489E-01  0.489E-01
  14.035  0.145E+00  0.484E-01  0.484E-01  0.484E-01
  14.085  0.151E+00  0.503E-01  0.503E-01  0.503E-01
  14.135  0.162E+00  0.539E-01  0.539E-01  0.539E-01
  14.185  0.172E+00  0.573E-01  0.573E-01  0.573E-01
  14.235  0.174E+00  0.582E-01  0.582E-01  0.582E-01
  14.285  0.168E+00  0.561E-01  0.561E-01  0.561E-01
  14.335  0.165E+00  0.551E-01  0.551E-01  0.551E-01
  14.385  0.185E+00  0.615E-01  0.615E-01  0.615E-01
  14.435  0.235E+00  0.784E-01  0.784E-01  0.784E-01
  14.485  0.299E+00  0.998E-01  0.998E-01  0.998E-01
  14.535  0.341E+00  0.114E+00  0.114E+00  0.114E+00
